Disease,Workout 1,Workout 2,Workout 3,Workout 4,Workout 5
bacterial_pneumonia,Deep diaphragmatic breathing,Seated forward bends,Standing chest opener stretch,Lung-expansion yoga poses,Mindfulness meditation
tuberculosis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
urinary_tract_infection,Pelvic tilt exercises,Core strengthening planks,Hip bridges,Leg stretches for circulation,Gentle walking to promote blood flow
lyme_disease,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
bacterial_conjunctivitis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
gonorrhea,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
syphilis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
strep_throat,Neck relaxation exercises,Seated arm raises,Calf stretches,Gentle walking indoors,Progressive muscle relaxation techniques
chlamydia,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
meningitis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
otitis_media,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
bacterial_skin_infection,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
sinusitis,Head-to-knee forward bends,Chest-opening yoga poses,Sun salutation sequences,Breathing exercises for sinus clearance,Gentle jogging to promote circulation
cholera,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
typhoid_fever,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
whooping_cough,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
legionnaires_disease,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
scarlet_fever,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
septicemia,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
bacterial_endocarditis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
anthrax,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
diphtheria,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
rheumatic_fever,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
shigellosis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
plague,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
leprosy,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
campylobacteriosis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
brucellosis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
trachoma,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
epiglottitis,Dynamic stretching,Gentle walking,Yoga poses for general fitness,Breathing exercises,Chair-based relaxation techniques
